,mean of normalized counts for all samples,log2 fold change (MAP): group cag_female vs wt_female,standard error: group cag_female vs wt_female,Wald statistic: group cag_female vs wt_female,Wald test p-value: group cag_female vs wt_female,BH adjusted p-values,symbol,ENTREZID,CHR,raClass,log2 fold change: Testis vs Ovary,BH adjusted p-Value: Testis vs Ovary
ENSMUSG00000024837,805.168716495431,10.0180237643823,0.700465655771359,14.3019485421457,2.12767654860432e-46,3.76199809750101e-44,Dmrt1,50796,chr19,0,8.87629519133707,9.51394522094434e-36
ENSMUSG00000049404,765.867092728473,9.99987986878127,0.635279554475732,15.7409124822752,7.92919715547973e-56,2.16209144605804e-53,Rarres1,109222,chr3,1,7.61901063944679,6.00887640001794e-32
ENSMUSG00000060967,574.869314054154,9.89036585630234,0.688385263754538,14.3674863147986,8.2781680037554e-47,1.48691665286502e-44,Etd,69501,chrX,0,7.26782511393388,5.82044430695525e-25
ENSMUSG00000031241,1235.17688854961,9.88965734200084,0.515237233923771,19.1943762811676,4.12403659566815e-82,2.52257287116653e-79,Tbx22,245572,chrX,0,6.37933449700263,1.20932753334805e-33
ENSMUSG00000093587,104.275925683816,9.64106360723988,1.55760703400851,6.18966362936134,0.000000000602927362743421,0.00000000911519844596467,NA,NA,chr13,0,9.15300562148022,0.0000000123226520230551
ENSMUSG00000020490,1293.59140679633,9.6084788334731,0.559023612320828,17.1879659851626,3.26797713885702e-66,1.27518721735538e-63,Btnl10,192194,chr11,0,7.48652730423966,1.15773962082316e-39
ENSMUSG00000091556,7632.18458727441,9.5311622203296,0.264683013686704,36.0097238110311,5.89268569649015e-284,1.33363262682965e-279,LOC101055983,101055983,chrX,0,8.06806739640048,1.93555770124884e-201
ENSMUSG00000037469,492.568127738695,9.49388797898546,0.653221577722368,14.533947289507,7.38399492986788e-48,1.39262144377308e-45,Papl,101744,chr7,0,5.8873074217847,3.41263025803944e-18
ENSMUSG00000066516,384.03997056531,9.41775081633186,1.10449931540699,8.52671494220124,1.5056228021019e-17,5.01844701872905e-16,Klk1b21,16616,chr7,0,10.2631004098325,7.56634615709096e-20
ENSMUSG00000000983,176.62989151311,9.30515559425574,0.950800317381272,9.78665596145816,1.28474739572116e-22,6.34855962007887e-21,Wfdc18,14038,chr11,0,2.30229059407958,0.0580457644685728
ENSMUSG00000086662,38.7488914440912,9.22122954371183,1.7380638214422,5.30546084093752,0.000000112388694057446,0.00000119754280786635,BC046251,407810,chr7,0,5.09509448939307,0.00732379303861813
ENSMUSG00000068745,98.1558865237099,9.20037162347246,1.17415387563433,7.83574607587272,4.66066911540069e-15,0.000000000000123224606798772,Mybphl,68753,chr3,0,3.2824255569821,0.0174035716244009
ENSMUSG00000039830,25.7006392545498,9.16025385087611,1.97736021944827,4.63256707643892,0.00000361159264243985,0.0000289131817062959,Olig2,50913,chr16,0,0.810983878176657,0.783886812737677
ENSMUSG00000031430,3772.9398238351,9.15416840975017,0.31211571391126,29.3294057355691,4.37550113714516e-189,3.30087805786231e-185,Vsig1,78789,chrX,0,8.75125062708655,8.2531827759336e-171
ENSMUSG00000086996,56.410575897718,9.13021025037973,1.63732094441448,5.5763106686727,0.0000000245673022856964,0.000000294807627428356,NA,NA,chrX,0,7.83661825943417,0.00000432608252849131
ENSMUSG00000019936,559.976745388745,9.03195215979394,0.808482675962601,11.1714850896963,5.62327394615285e-29,4.00207345752614e-27,Epyc,13516,chr10,0,9.67092955496323,4.45132751284851e-32
ENSMUSG00000036907,72.2164995997274,8.91745089321731,1.25393960235291,7.11154737954242,0.00000000000114749054194131,0.0000000000239575700601621,C1ql2,226359,chr1,0,-0.604972447583445,0.812614459197364
ENSMUSG00000072934,707.279651655541,8.85132766305775,0.610152272109994,14.50675194972,1.09797888559228e-47,2.05367422634087e-45,NA,NA,chrX,0,8.05998465610297,1.02055726064075e-38
ENSMUSG00000081443,135.681719926398,8.84307046523825,1.12589914455758,7.8542296687801,4.02236627721053e-15,0.00000000000010684764505379,NA,NA,chrX,0,8.15461771397573,0.0000000000017721904621876
ENSMUSG00000024526,708.013881034757,8.83537632041287,0.465757573051947,18.9699037259185,3.02460002290564e-80,1.5919243655442e-77,Cidea,12683,chr18,0,5.69019352064464,2.20757631206923e-32
ENSMUSG00000046160,180.989848484075,8.82095677682251,0.965662371120232,9.13461789609718,6.56381569308687e-20,2.65271922796325e-18,Olig1,50914,chr16,0,7.21578527980376,0.000000000000384730706368109
ENSMUSG00000071356,123.972788864058,8.75765030984349,0.95490638139871,9.17121351416211,4.67723649187245e-20,1.92814601610305e-18,Reg3b,18489,chr6,0,2.57428409228837,0.0288744188497704
ENSMUSG00000027445,3256.33565052808,8.57433953971483,0.941890022416754,9.10333407897699,8.76004600044231e-20,3.52144513467159e-18,Cst9,13013,chr2,0,6.91511817677076,0.000000000000776825154788787
ENSMUSG00000046180,1303.57635353705,8.47213129053793,0.354586936264297,23.8929594524686,3.62497263073639e-126,1.36733967631377e-122,4930550L24Rik,75352,chrX,0,7.28994696823904,9.19851096801085e-92
ENSMUSG00000027444,960.590221047102,8.40421935742246,0.383479666658677,21.9156844237658,1.84106230177095e-106,2.77779480091202e-103,8030411F24Rik,78609,chr2,0,4.49692701237581,3.48784696659632e-29
ENSMUSG00000022129,126.00713907115,8.29932880441235,1.1273713951592,7.36166345895303,0.000000000000181632421745985,0.00000000000409840973973593,Dct,13190,chr14,1,8.56751933569734,0.000000000000118072421566401
ENSMUSG00000024365,225.316989809692,8.28518382404713,0.900357536411418,9.20210415194572,3.51007874949494e-20,1.45761655520311e-18,Cyp21a1,13079,chr17,0,5.10641890983025,0.0000000591485279156124
ENSMUSG00000078599,21.80875946305,8.24256277737326,1.75423614566901,4.69866203459729,0.00000261871382053603,0.0000214968194364786,Skint8,639774,chr4,0,5.82789163396375,0.00193204320286269
ENSMUSG00000072931,97.5809714258575,8.21157585208651,1.59109059290794,5.16097316437444,0.000000245669398260354,0.00000246344254383179,Gm15080,666184,chrX,0,9.9537223905192,0.00000000114058778735131
ENSMUSG00000072925,97.8995622279259,8.12852580660371,1.58756258294551,5.12012936933944,0.000000305326128156816,0.00000300440910106307,NA,NA,chrX,0,10.0047307853124,0.00000000084720306350588
ENSMUSG00000079843,97.6393356897961,8.10899750791815,1.58937606682867,5.1020005127536,0.000000336081840643231,0.00000326306487234561,NA,NA,chrX,0,10.0028894226762,0.000000000892086157734099
ENSMUSG00000072924,97.8526262866967,8.10888392644601,1.58917295375468,5.1025811301957,0.000000335052034517408,0.00000325725843865892,NA,NA,chrX,0,10.0068855411384,0.000000000873440716432348
ENSMUSG00000087340,93.4466817559231,7.96950163082363,0.898861471227999,8.86621786106365,7.5672347879309e-19,2.79382802154082e-17,NA,NA,chrX,0,-0.088277311942466,0.96033045953841
ENSMUSG00000072929,87.5929806299705,7.96844206240099,1.59807883836038,4.98626342526164,0.000000615582002379423,0.00000567026938455478,NA,NA,chrX,0,9.87146990956957,0.00000000183883702607134
ENSMUSG00000079395,89.0068403226657,7.88940693346268,1.60748977104207,4.90790490588834,0.00000092054466641169,0.00000822818597560401,Gm15114,100034729,chrX,0,9.89626734118075,0.0000000020784033896781
ENSMUSG00000056023,15.7799595600871,7.84876689933077,1.83781856752043,4.27069735720445,0.0000194862693347616,0.000134414278446914,NA,NA,chr3,0,5.06971984088597,0.0114942599892633
ENSMUSG00000038094,386.628515130914,7.8104364203941,0.528030515039491,14.7916383578891,1.65866663593443e-49,3.3818867841863e-47,Atp13a4,224079,chr16,0,5.54389201448451,2.15801673257565e-24
ENSMUSG00000031329,810.007167968839,7.78073104617097,0.43352786249768,17.9474763198469,5.02211886803793e-72,2.41831051534967e-69,Tsx,22127,chrX,0,6.81404558578131,3.9331441558915e-54
ENSMUSG00000087695,14.0428424926102,7.74366738761562,1.8436803996562,4.20011374480067,0.0000266780922992585,0.000178000762062741,Gm16291,100503072,chr15,0,4.8622218790984,0.0164384771547085
ENSMUSG00000057000,7198.42011939115,7.73097589299944,0.375560510461415,20.5851671771911,3.72749576730451e-94,3.37442736822543e-91,Nxf3,245610,chrX,0,4.80748065901349,2.0658120782832e-36
ENSMUSG00000023978,71.5208997747155,7.72837392871951,1.6278358440405,4.7476371508915,0.00000205806827695905,0.0000172129346800211,Prph2,19133,chr17,0,9.58014339944248,0.0000000106296043416454
ENSMUSG00000030158,1335.28863681502,7.71181517149873,0.351488157327824,21.9404694318225,1.0679378502623e-106,1.72639781622403e-103,Clec12b,71183,chr6,0,4.58820278253347,7.18286462863651e-37
ENSMUSG00000046942,1373.06666674608,7.66495675943902,0.32993829527163,23.2314856119647,2.18916453013083e-119,6.1931464557401e-116,Mageb16,71967,chrX,0,5.53065472601521,8.16217591213255e-61
ENSMUSG00000064018,815.815660120463,7.65236985904758,0.393627144044825,19.4406558968813,3.49666766606589e-84,2.32754654760009e-81,NA,NA,chr6,0,5.3914589003015,8.58402273540744e-41
ENSMUSG00000085886,88.4880666186177,7.61148542332671,0.852149505440896,8.93210096905306,4.17993733866933e-19,1.57404894923069e-17,D030047H15Rik,100037396,chr7,0,4.29530754495657,0.00000304888519483263
ENSMUSG00000038077,495.385961641179,7.60785431554139,0.417874726459119,18.2060647218531,4.61983925415213e-74,2.27296091304285e-71,Kcna6,16494,chr6,0,1.51417678965119,0.00427754847910869
ENSMUSG00000006270,45.7142772905001,7.59614857020537,1.19201213272782,6.37254299821782,0.000000000185919270067507,0.00000000298632002850804,Vax1,22326,chr19,0,5.98343696272618,0.00000171145099920257
ENSMUSG00000063177,329.862653120895,7.58603654147277,0.622789855863039,12.1807323450385,3.93730412154182e-34,3.93442065146145e-32,Klk1b27,16619,chr7,0,7.23886862925124,3.26615722842169e-30
ENSMUSG00000044400,269.242872856371,7.51020695374783,0.548173489497877,13.7004198445042,1.00938947794755e-42,1.48340926395513e-40,Sowahd,245381,chrX,0,5.27801022397082,1.46669594736944e-20
ENSMUSG00000028008,11.4868417727237,7.50372429864841,1.86784492165254,4.01731654039545,0.0000588646303094793,0.000365514453890428,Asic5,58170,chr3,0,4.62028209585807,0.0256585219660948
ENSMUSG00000031323,1400.69301592807,7.498675527739,0.361816525912325,20.7250774652456,2.05796028177373e-95,2.21789319510015e-92,Dmrtc1a,70887,chrX,0,5.92277936531801,1.72563756443461e-58
ENSMUSG00000073209,9.88522458037701,7.47626714488514,1.93522633020732,3.86325207971112,0.000111887442286766,0.000649958057965626,Klf14,619665,chr6,0,3.50076220219039,0.121146636868177
ENSMUSG00000063133,17.5044544403275,7.43797607333038,1.76445574834535,4.21545061716933,0.0000249279937636189,0.000167359939145127,Klk1b1,16623,chr7,0,6.75297849532587,0.000279449867461296
ENSMUSG00000024502,112.983252757425,7.43057493339273,1.11913316479237,6.63958067471916,0.0000000000314576788925713,0.000000000561474912221351,Jakmip2,76217,chr18,0,8.82148622700596,0.0000000000000117219417524577
ENSMUSG00000054672,329.631764421716,7.31351584212776,0.538859489460112,13.5722131375198,5.85277740982016e-42,8.33082127918552e-40,5830411N06Rik,244234,chr7,0,0.0776441192213711,0.931905658786719
ENSMUSG00000060673,213.709268829008,7.30958609627729,0.973644506481328,7.50744860944528,0.0000000000000602908401455652,0.0000000000014348078803096,4930595M18Rik,245492,chrX,0,9.01873794340939,8.70382944233512e-20
ENSMUSG00000037797,288.314755283392,7.27739206914837,0.593534507753479,12.2611103045941,1.46478972514274e-34,1.50686913906502e-32,Adh4,26876,chr3,0,7.5176929313911,1.00914500006511e-35
ENSMUSG00000062345,34.248679986988,7.26165166178802,1.2307695888681,5.90009025854007,0.00000000363302772209483,0.0000000493533513844239,Serpinb2,18788,chr1,2,5.60627581042657,0.0000161754269532092
ENSMUSG00000055976,222.07936276741,7.23563285195508,0.509061694329402,14.2136659123149,7.53741817542482e-46,1.27303618019563e-43,Cldn23,71908,chr8,0,2.85364498328921,0.000000772182278419569
ENSMUSG00000046178,79.4370763329483,7.23288727229432,1.15087935583171,6.2846615812891,0.000000000328568639698348,0.00000000512485558487457,Nxph1,18231,chr6,0,8.16991330464217,0.00000000000427592749301155
ENSMUSG00000062124,113.916934123931,7.22998738269432,1.1541175998973,6.26451531744915,0.000000000373986799998728,0.00000000579730771066522,Defb45,433490,chr2,0,8.84364004478771,0.0000000000000630355449368659
ENSMUSG00000073007,996.502144397821,7.22715398263052,0.49572132161981,14.5790662362781,3.81701831066272e-48,7.25939146276627e-46,Fam46d,213449,chrX,0,9.27551596853341,3.94963801345839e-77
ENSMUSG00000066897,9.68740635261612,7.15942620877474,1.88892859166679,3.7902047967082,0.000150523128157061,0.000846159820280826,Olfr872,258553,chr9,0,4.82971080536131,0.0199645351139412
ENSMUSG00000082106,87.2613637700044,7.15751303776409,0.803307009064801,8.91005923886656,5.10053037876231e-19,1.90801989309337e-17,NA,NA,chrX,0,4.71941488043492,0.0000000286660167992018
ENSMUSG00000029272,210.015073704775,7.14045623458623,1.00375466663697,7.11374648798392,0.00000000000112934511485252,0.0000000000236223092785049,Sult1e1,20860,chr5,0,9.06711559048517,6.89939810249728e-19
ENSMUSG00000020374,143.030164543633,7.09481247083034,0.60523793475385,11.7223525880211,9.79145044583815e-32,8.39394342765944e-30,Rasgef1c,74563,chr11,0,3.20359387118291,0.00000206288449031807
ENSMUSG00000059623,7.33526801163865,7.07364695971237,2.03389014433381,3.47789037643884,0.000505376562162102,0.00247301240104923,Olfr39,258822,chr9,0,2.76843801919644,0.261407970306255
ENSMUSG00000000215,37.4119495357087,7.07102514813286,1.048455240696,6.74423177420418,0.0000000000153838798816249,0.000000000284683540049824,Ins2,16334,chr7,0,2.36794164875499,0.0690695780479919
ENSMUSG00000053228,41.9209513094764,7.0697113329756,1.1988297155855,5.89717725634022,0.0000000036977257398518,0.0000000501119334995963,Ceacam3,384557,chr7,0,6.76680018233043,0.0000000520491410607518
ENSMUSG00000032419,99.6844327818865,7.02952701110956,0.829679185337115,8.47258450656844,2.4000743902827e-17,7.90662061148152e-16,Tbx18,76365,chr9,0,6.78942490900035,1.52223093730133e-15
ENSMUSG00000034219,667.232469228734,7.02746430909794,0.368664662436341,19.0619417186788,5.22974721464758e-81,2.88682046248547e-78,Sept14,74222,chr5,0,5.49110587185026,3.53531441059949e-48
ENSMUSG00000041565,334.644491115631,7.00833480074124,0.495026810429031,14.1574853181533,1.67895347790683e-45,2.81467223051758e-43,L3mbtl4,320858,chr17,0,5.41251375482628,1.87291598465307e-26
ENSMUSG00000027463,4145.20996178466,6.99953238203272,0.350440669631908,19.9735161714672,9.36247310629263e-89,7.30660314971086e-86,Slc52a3,69698,chr2,0,4.35150715181023,3.08876303863174e-34
ENSMUSG00000023159,8.37555407237922,6.98553846745564,1.97688233827851,3.53361367654218,0.000409919768372276,0.00205250092871712,Psg29,114872,chr7,0,4.12972034673012,0.0628266844444839
ENSMUSG00000067860,94.3678472168835,6.96502127480894,0.902316706667616,7.71904279654951,0.0000000000000117206548455085,0.000000000000301776860595618,Zic3,22773,chrX,0,6.52485602585457,0.00000000000215203161053783
ENSMUSG00000022061,38.1181297149121,6.92983208218653,1.68509396683544,4.11243065287366,0.0000391515094189625,0.000252731591891032,Nkx3-1,18095,chr14,0,8.82322727408365,0.000000384355885034921
ENSMUSG00000075437,15.9035710160675,6.923876725254,1.76790702073887,3.91642583237226,0.0000898714471606519,0.000533255371802038,NA,NA,chr11,0,7.12006693555626,0.000120139719076703
ENSMUSG00000048528,23.9664834383241,6.89785030983148,1.25752384880331,5.48526401021789,0.0000000412852364166814,0.000000473097453459409,Nkx1-2,20231,chr7,0,4.30394332221549,0.00178033197308033
ENSMUSG00000021469,97.3142610880261,6.89563897435308,0.706833725896182,9.75567339491366,1.74439102098009e-22,8.54525055991804e-21,Msx2,17702,chr13,1,1.22989332740923,0.206068225625406
ENSMUSG00000079374,28.0654595126148,6.89460422421171,1.73186294414423,3.98103339962537,0.0000686163060009686,0.000419369224254367,NA,NA,chrX,0,8.22214667563982,0.0000046323067313703
ENSMUSG00000055691,474.154047851667,6.86002368235312,0.535466353229024,12.8113067067335,1.41727581134366e-37,1.73382627904485e-35,Gja6,414089,chrX,0,4.63230874415201,4.86576443685456e-17
ENSMUSG00000067973,5.2601848723003,6.84265559374155,2.22444004146047,3.07612498705471,0.00209709917943596,0.00854393314653371,Gm6994,629678,chr14,0,0.700382876342926,0.820645202229905
ENSMUSG00000035296,309.897227276796,6.78492001650277,1.0504297583767,6.45918488351658,0.000000000105268441115324,0.00000000174665348923902,Sgcg,24053,chr14,0,2.40199117904268,0.0368239815211643
ENSMUSG00000028116,287.51377654365,6.76099916501647,0.562459201100169,12.0204259291909,2.77537140352118e-33,2.60631558524861e-31,Myoz2,59006,chr3,0,2.66459673386491,0.0000149479245896903
ENSMUSG00000000567,1580.23591928704,6.74217389607827,0.283575719777206,23.7755683080883,5.97809100910361e-125,1.93280222454333e-121,Sox9,20682,chr11,1,3.33172747474549,1.33786809642034e-29
ENSMUSG00000020218,131.521002848303,6.71752579491082,0.580833746956046,11.5653159447348,6.17635341779356e-31,5.06460980259072e-29,Wif1,24117,chr10,0,1.45930624546006,0.0552338286887519
ENSMUSG00000039278,538.323871462425,6.6846145756687,0.464075596475181,14.4041501566571,4.87274662776881e-47,8.96585379509461e-45,Pcsk1n,30052,chrX,0,4.47079300011272,8.98051133814012e-21
ENSMUSG00000086864,152.558279411698,6.65511023913143,0.543140883648528,12.2530091905916,1.61875923805104e-34,1.65772665500322e-32,A630077J23Rik,319973,chr4,0,2.81124976559963,0.00000434612411774692
ENSMUSG00000066129,410.271135894763,6.65251710148728,0.482529224512315,13.7867651606198,3.06184643871004e-43,4.65071869804602e-41,Kndc1,76484,chr7,0,5.82222909055819,2.756974257467e-32
ENSMUSG00000046607,94.0556982006804,6.64943964003343,0.733512017229418,9.06520886344758,1.24365754176678e-19,4.95536223332146e-18,Hrk,12123,chr5,0,0.594462486467647,0.591263630446859
ENSMUSG00000043924,289.203994431737,6.63938676208107,0.386031369663772,17.1990860946453,2.6975253927995e-66,1.07105955596207e-63,Ncmap,230822,chr4,0,2.48855025704794,0.0000000176242710048444
ENSMUSG00000042433,24.8039495053257,6.62774335351237,1.73297515168164,3.82448839331651,0.000131043919000572,0.00074784510795887,E230019M04Rik,331537,chrX,0,8.18442869531174,0.00000509435265456076
ENSMUSG00000012819,3376.21867869654,6.61560520630355,0.287581100939878,23.0043114261762,4.22040026852608e-117,9.55160988772823e-114,Cdh23,22295,chr10,0,5.20489073869428,1.55693960444928e-71
ENSMUSG00000082450,508.985436846939,6.58431080687762,1.01648697779946,6.47751614204806,0.0000000000932448004924623,0.00000000156088485558092,NA,NA,chrX,0,4.4944879952027,0.0000225478696535231
ENSMUSG00000054618,13.7325496503841,6.54374517663445,1.80954049970712,3.61624687465882,0.000298905322580285,0.00154695295235239,NA,NA,chr8,0,7.02915287035662,0.000209092810814102
ENSMUSG00000067541,4.94496308594513,6.51782183110075,2.10284846316743,3.09952045773343,0.00193834191194518,0.00800959542653702,A630073D07Rik,381819,chr6,0,2.61590718743616,0.305642057007179
ENSMUSG00000063713,292.594005532511,6.51701673071643,0.680190384241609,9.58116562906531,9.59557914342011e-22,4.39609609663733e-20,Klk1b24,16617,chr7,0,8.23353457734132,5.51011717489838e-33
ENSMUSG00000030428,3491.30144641321,6.50380916113224,0.266346513872932,24.4186006663299,1.08525099340051e-131,4.91228009652806e-128,Ttyh1,57776,chr7,0,4.08929330214582,1.97062878256393e-51
ENSMUSG00000020651,9.52922468024872,6.48070061100891,1.86640638959411,3.47228805427434,0.000516042305709054,0.00251921256747353,Slc26a4,23985,chr12,0,6.16520939962575,0.00185932826614034
ENSMUSG00000028927,595.355174021332,6.46495546157095,0.297869905408074,21.7039564729244,1.88247753246508e-104,2.66276446967186e-101,Padi2,18600,chr4,0,3.46949658241578,4.23324366568401e-28
ENSMUSG00000050201,131.687485613742,6.4425283782257,0.8481165370233,7.59627727674966,0.0000000000000304771139522685,0.000000000000751370417176187,Otop2,237987,chr11,0,7.91196703165733,4.38041486968931e-20
ENSMUSG00000091956,64.2955936719497,6.41825899483153,1.67247454476381,3.83758247019414,0.000124251511993289,0.000712635635943264,C2cd4b,75697,chr9,0,9.73839511484571,0.0000000131542870382699
ENSMUSG00000014686,38.8794079587999,6.39087847256861,0.981604941499883,6.51064211515012,0.0000000000748302344108234,0.00000000127048602039442,Ceacam16,330483,chr7,0,2.50118554181877,0.0308896713361428
ENSMUSG00000067879,314.910429975186,6.37809327553583,1.12219774850855,5.6835734022926,0.0000000131909070277041,0.000000165394242576731,3110035E14Rik,76982,chr1,0,4.14801967082528,0.000443923334811436
ENSMUSG00000042662,1528.64141185943,6.37543047271719,0.435445969362697,14.6411516497627,1.53446892078479e-48,2.99380177717253e-46,Dusp15,252864,chr2,0,9.20843273382252,1.63272195258366e-98
ENSMUSG00000083695,361.835785545523,6.36680258996798,0.442843111182748,14.3771065399741,7.20441426746925e-47,1.31492180404326e-44,Rnf138rt1,74264,chrX,0,6.95002790973891,2.70464255753622e-54
ENSMUSG00000001095,85.8851050861776,6.35213355715158,0.710545683007117,8.93979614409669,3.89888942413005e-19,1.47557968974768e-17,Slc13a2,20500,chr11,0,4.94552773891439,0.0000000000262330166448828
ENSMUSG00000086155,47.4803979830851,6.33086810412034,0.897217093384285,7.05611624076446,0.00000000000171220612338788,0.0000000000350684606194701,9430041J12Rik,77323,chr7,0,4.0521992000759,0.0000275087389499977
ENSMUSG00000084397,37.7311795708508,6.31456273234962,1.01634880398502,6.21298781244268,0.000000000519864829954071,0.00000000792828897002731,NA,NA,chrX,0,5.70573219744117,0.0000000728910432573079
ENSMUSG00000038754,69.9428893657674,6.30241050253613,0.73303578397213,8.59768464287652,8.13404460053939e-18,2.76410957056167e-16,Elovl3,12686,chr19,0,3.86935071652497,0.000000945527812495255
ENSMUSG00000090863,29.5800012112965,6.28829435522396,1.07863469374189,5.82986472779701,0.00000000554723252950994,0.0000000736334115002164,NA,NA,chr13,0,4.88452784558372,0.0000200169806762819
ENSMUSG00000054994,665.097787864516,6.2785916087566,0.634296311011908,9.89851509421553,4.22501397955582e-23,2.15187401859533e-21,AV320801,331531,chrX,0,9.95506177092887,3.74907816339216e-55
ENSMUSG00000069072,158.280980761723,6.26700985959566,0.688339421638375,9.10453427856713,8.66373384610216e-20,3.4889257011563e-18,Slc7a14,241919,chr3,0,7.44063537686439,1.62856822368573e-26
ENSMUSG00000045912,193.433297554619,6.2581290077777,0.45320785333384,13.8085184573531,2.2644083199666e-43,3.46270872280298e-41,C2cd4c,237397,chr10,0,3.21366125975879,0.0000000000674721531802797
ENSMUSG00000049537,23.7195506972535,6.25676245306427,1.13067295499992,5.53366243120646,0.0000000313612281302797,0.000000368901930896305,Tecrl,243078,chr5,0,2.72515820062104,0.0404583968063347
ENSMUSG00000030017,21.9245175464004,6.23706601709914,1.12099037043004,5.56388902315587,0.0000000263827763852181,0.000000314260523763293,Reg3g,19695,chr6,0,2.60786819375718,0.0516919239864099
ENSMUSG00000037625,6466.53211074941,6.18948841043487,0.310318120138295,19.9456235674426,1.63597554242644e-88,1.23417994920651e-85,Cldn11,18417,chr3,0,3.27849685464699,3.98758952979186e-25
ENSMUSG00000076870,5.88128906664868,6.17249962116647,1.95509088449696,3.15714203882375,0.00159323718142136,0.00676629952489974,NA,NA,chr14,0,5.08759707488035,0.0166393311640813
ENSMUSG00000087553,9.6190912859764,6.16513589170326,1.87032570429839,3.29628998710467,0.000979708323677983,0.00442305182155997,5730412P04Rik,70491,chrX,0,6.47641102063953,0.00103041220896757
ENSMUSG00000026832,994.451984273861,6.14861340910188,0.30902652860887,19.896717077271,4.34469948005008e-88,3.17191092362882e-85,Cytip,227929,chr2,0,2.92495985516098,1.75213943044522e-19
ENSMUSG00000086284,14.4232813945781,6.13266997344787,1.34846339131239,4.54789504331983,0.00000541851449715714,0.0000417968030332857,Frmpd1os,78508,chr4,0,3.57976890192336,0.0183703368625406
ENSMUSG00000092471,22.9070583168723,6.12369542470607,1.42289782137323,4.30367896606669,0.0000167985031650921,0.00011803282323265,NA,NA,chr17,0,2.77880656769242,0.0878578571561815
ENSMUSG00000041674,16.4493188667354,6.10934767427523,1.33781004679811,4.56667797412439,0.00000495514344375026,0.0000386173575822851,BC006965,217294,chr11,0,4.91955435112982,0.000586222385572676
ENSMUSG00000035472,259.797705486107,6.05746326721305,0.56123936967307,10.7930120275447,3.7141332389877e-27,2.47959479247108e-25,Slc25a21,217593,chr12,0,4.96941004427972,7.12839618954205e-18
ENSMUSG00000047171,60.5546340517518,6.04285477428381,0.907077870411077,6.66189196253378,0.0000000000270324724118247,0.000000000486326641990792,Helt,234219,chr8,0,4.95488978887732,0.000000174442791591503
ENSMUSG00000042451,6.98198201664488,6.03889228068908,1.97299086868589,3.06078065364352,0.00220760756148103,0.0089351401030097,Mybph,53311,chr1,0,5.59947468152419,0.00812623733705444
ENSMUSG00000086275,144.492635937677,6.03418512887592,1.63041892845907,3.70100286714587,0.000214749049501204,0.00115754871289043,NA,NA,chr4,0,10.9770847951992,0.000000000035244057287313
ENSMUSG00000034660,5.30049402390668,6.0194577788951,2.03743695545099,2.95442652239647,0.00313250737983773,0.0120907398697551,Galp,232836,chr7,0,4.66081588869635,0.0371279377745204
ENSMUSG00000072930,134.262347910269,5.98906333484174,0.836339972125897,7.16103921186274,0.000000000000800677405412702,0.0000000000169671638944759,Gm15107,434864,chrX,0,7.55469347842596,6.40623958372638e-19
